[2026-09-17 23:50:54.813] [info] OpenCraft 0.1.0 starting
[2026-09-17 23:50:54.961] [info] GL 4.1 Metal - 89.4 / glad loaded
[2026-09-17 23:50:54.961] [info] save: no level.ocd, new world with seed 0x4f50454e43524146
[2026-09-17 23:50:55.183] [info] startup gen: 25 chunks, total 222.0 ms, avg 8.88 ms/chunk
[2026-09-17 23:50:55.183] [info] spawn scan: surface at (0.5, 132.0, 0.5)
[2026-09-17 23:50:55.183] [info] atlas: 144x144 px, 9 tiles/row, crack tiles at 63
[2026-09-17 23:50:57.216] [info] fps 42.3 | pos (0.50, 132.00, 0.50) | chunks 113 | stream-meshed 104
[2026-09-17 23:50:59.244] [info] fps 69.7 | pos (0.50, 132.00, 0.50) | chunks 113 | stream-meshed 104
[2026-09-17 23:51:01.245] [info] fps 73.7 | pos (0.50, 133.17, 0.50) | chunks 113 | stream-meshed 104
[2026-09-17 23:51:03.251] [info] fps 73.7 | pos (0.50, 133.02, 0.50) | chunks 113 | stream-meshed 104
[2026-09-17 23:51:05.265] [info] fps 74.0 | pos (0.50, 132.42, 0.50) | chunks 113 | stream-meshed 104
[2026-09-17 23:51:07.271] [info] fps 74.3 | pos (0.50, 133.25, 0.50) | chunks 113 | stream-meshed 104
[2026-09-17 23:51:07.316] [info] autosave: 0 chunk(s) queued for async write, level written (ticks=199)
[2026-09-17 23:51:09.280] [info] fps 72.8 | pos (0.50, 132.80, 0.50) | chunks 113 | stream-meshed 104
[2026-09-17 23:51:11.279] [info] fps 73.5 | pos (0.50, 132.42, 0.50) | chunks 113 | stream-meshed 104
[2026-09-17 23:51:13.292] [info] fps 72.4 | pos (0.50, 133.25, 0.50) | chunks 113 | stream-meshed 104
[2026-09-17 23:51:15.306] [info] fps 73.0 | pos (0.50, 132.80, 0.50) | chunks 113 | stream-meshed 104
